Voltage_measured,Current_measured,Temperature_measured,Current_charge,Voltage_charge,Time,Capacity,cycle,type,ambient_temperature,time,Battery
3.985606343,-1.988778115,24.00425671,2,3.003,35.703,1.891052295,1,discharge,24,2008,B0007
3.963247269,-1.992557903,24.1628683,2,2.987,53.781,1.891052295,1,discharge,24,2008,B0007
3.946646656,-1.988491191,24.3463677,2,2.972,71.922,1.891052295,1,discharge,24,2008,B0007
3.932765867,-1.991151752,24.54613195,2,2.963,90.094,1.891052295,1,discharge,24,2008,B0007
3.921003411,-1.98950267,24.7413361,2,2.957,108.281,1.891052295,1,discharge,24,2008,B0007
3.91094852,-1.989180463,24.9371319,2,2.955,126.453,1.891052295,1,discharge,24,2008,B0007
3.901712264,-1.989492296,25.12795401,2,2.951,144.641,1.891052295,1,discharge,24,2008,B0007
3.893208494,-1.989591367,25.31315607,2,2.946,162.844,1.891052295,1,discharge,24,2008,B0007
3.885713304,-1.99034204,25.51065124,2,2.94,181.016,1.891052295,1,discharge,24,2008,B0007
3.878351901,-1.988788161,25.69493398,2,2.934,199.219,1.891052295,1,discharge,24,2008,B0007
3.871454018,-1.99121264,25.88670848,2,2.929,217.391,1.891052295,1,discharge,24,2008,B0007
3.864964146,-1.990449517,26.07142182,2,2.923,235.594,1.891052295,1,discharge,24,2008,B0007
3.858974247,-1.988648907,26.2471859,2,2.919,253.75,1.891052295,1,discharge,24,2008,B0007
3.852982582,-1.991455321,26.42413448,2,2.913,271.984,1.891052295,1,discharge,24,2008,B0007
3.847076274,-1.98918309,26.59561447,2,2.909,290.141,1.891052295,1,discharge,24,2008,B0007
3.841462246,-1.991695436,26.7751169,2,2.903,308.359,1.891052295,1,discharge,24,2008,B0007
3.836068948,-1.991298908,26.93239942,2,2.899,326.5,1.891052295,1,discharge,24,2008,B0007
3.830981245,-1.989563326,27.09802416,2,2.894,344.75,1.891052295,1,discharge,24,2008,B0007
3.825728054,-1.990638332,27.25462844,2,2.889,362.906,1.891052295,1,discharge,24,2008,B0007
3.821010338,-1.989083898,27.40590216,2,2.885,381.047,1.891052295,1,discharge,24,2008,B0007
3.816124292,-1.992536549,27.557097,2,2.88,399.187,1.891052295,1,discharge,24,2008,B0007
3.811430395,-1.989823302,27.72629828,2,2.875,417.281,1.891052295,1,discharge,24,2008,B0007
3.806787896,-1.988892017,27.87454024,2,2.871,435.484,1.891052295,1,discharge,24,2008,B0007
3.802088241,-1.990696053,28.00730704,2,2.867,453.672,1.891052295,1,discharge,24,2008,B0007
3.797400677,-1.986308898,28.15402227,2,2.862,471.812,1.891052295,1,discharge,24,2008,B0007
3.792817015,-1.991105489,28.30560893,2,2.857,490.203,1.891052295,1,discharge,24,2008,B0007
3.78804503,-1.990414562,28.44699675,2,2.853,508.344,1.891052295,1,discharge,24,2008,B0007
3.783656244,-1.988464573,28.57832776,2,2.849,526.625,1.891052295,1,discharge,24,2008,B0007
3.779067552,-1.989947679,28.72029371,2,2.844,544.922,1.891052295,1,discharge,24,2008,B0007
